r,rho,Iy,Ix,ES,FS
-1,50.797,6.73E-02,6.73E-02,6.85E+06,6.85E+06
0.051,50.797,6.73E-02,6.73E-02,6.85E+06,6.85E+06
0.102,44.797,6.73E-02,6.73E-02,6.10E+06,6.10E+06
0.152,33.797,6.73E-02,6.73E-02,4.77E+06,4.77E+06
0.375,9.973,3.98E-02,3.98E-02,1.65E+06,1.65E+06
0.749,16.265,4.88E-01,3.80E-02,7.22E+06,1.35E+06
0.835,16.134,4.78E-01,3.68E-02,7.20E+06,1.30E+06
1.002,15.623,4.51E-01,3.40E-02,6.92E+06,1.17E+06
1.14,15.21,4.29E-01,3.17E-02,6.69E+06,1.07E+06
1.444,14.741,3.94E-01,2.77E-02,6.49E+06,9.16E+05
1.749,14.379,3.59E-01,2.44E-02,6.23E+06,8.05E+05
1.835,12.38,2.77E-01,1.99E-02,5.02E+06,7.20E+05
2.054,11.705,2.45E-01,1.72E-02,4.38E+06,6.08E+05
2.359,10.853,2.04E-01,1.41E-02,3.59E+06,4.79E+05
2.664,10.279,1.70E-01,1.20E-02,2.99E+06,4.07E+05
2.677,10.253,1.69E-01,1.19E-02,2.97E+06,4.03E+05
2.968,9.585,1.40E-01,9.74E-03,2.44E+06,3.20E+05
3.273,8.935,1.14E-01,7.85E-03,1.97E+06,2.49E+05
3.515,8.416,9.56E-02,6.50E-03,1.63E+06,2.00E+05
3.578,8.291,9.15E-02,6.20E-03,1.56E+06,1.89E+05
3.883,7.672,7.21E-02,4.81E-03,1.21E+06,1.40E+05
4.188,7.043,5.54E-02,3.64E-03,9.14E+05,9.97E+04
4.272,6.882,5.16E-02,3.37E-03,8.45E+05,9.05E+04
4.492,6.44,4.16E-02,2.68E-03,6.71E+05,6.80E+04
5.1,6.44,4.16E-02,2.68E-03,6.71E+05,6.80E+04